timestamp,equity,cash,portfolio_value
2025-07-28 16:43:09,100008.94,99523.98,100008.94
2025-07-29 12:37:06,100009.32,99523.96,100009.32
2025-07-30 10:24:22,100004.88,99523.96,100004.88
2025-07-31 07:31:23,100001.24,99523.96,100001.24
